timestamp,annotator_id,sex,age,education,provenance,political_position,sexual_orientation
5/6/2026 14:51:08,GS86,M,18,Scuola secondaria,"Centro (Toscana, Umbria, Marche, Lazio)",Non voto,Non appartenente alla comunità LGBTQIA+
5/6/2026 15:17:50,GS92,F,33,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 15:19:39,GS94,M,33,Dottorato,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 15:28:15,GS95,M,32,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Appartenente alla comunità LGBTQIA+
5/6/2026 15:32:51,GS96,M,32,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 15:39:36,GS98,M,35,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/6/2026 15:41:29,GS99,M,58,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non so
5/6/2026 15:50:59,GS101,M,38,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 16:01:36,GS102,Altro,38,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 16:02:55,GS103,F,29,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 16:06:56,GS105,F,42,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 16:08:48,GS106,F,37,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 16:53:49,GS111,M,48,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 17:04:01,GS112,F,36,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
